"Latest Tweets","Latest Tweets"
"about","about"
"days ago","days ago"
"hours ago","hours ago"
"minutes ago","minutes ago"
"seconds ago","seconds ago"
"Flickr Stream","Flickr Stream"
"Email address","Email address"
"Join","Join"
"Enter your e-mail Address","Enter your e-mail Address"
"SEARCH","SEARCH"
"Cart %s items for %s","Cart %s items for %s"
"Cart %s item for %s","Cart %s item for %s"
"Shopping Cart","Shopping Cart"
"All Categories","All Categories"
"Catalog Category Search","Catalog Category Search"
"Search","Search"
"Cart Totals","Корзина"
"View Cart","Корзина"
"Search entire store here...","Search here..."
"Select Category On Category Pages","Select Category On Category Pages"
"Show Subcategories","Show Subcategories"
"Subcategory Indentation","Subcategory Indentation"
"Be the First to Know","Be the First to Know"
"Submit","Submit"
"You've just added this product to the cart:","Вы только что добавили этот товар в корзину:"
"Also Purchased", "Похожие товары"
"Enter your coupon code if you have one.", "Промо-код для скидки"
"Add to Cart", "Купить"
"Proceed to Checkout", "Оформить заказ"
"Place Order", "Подтвердить заказ"